time,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13
0.500780,0.774084,0.650969,-1.388747,-1.268211,-0.334171,0.852699,-0.524800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.502806,0.774305,0.652559,-1.389563,-1.265711,-0.333239,0.853538,-0.525181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.504811,0.774522,0.654131,-1.390305,-1.263193,-0.332311,0.854370,-0.525558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.506880,0.774736,0.655708,-1.390982,-1.260623,-0.331373,0.855205,-0.525935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.508811,0.774946,0.657250,-1.391580,-1.258067,-0.330449,0.856023,-0.526304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.510864,0.775154,0.658793,-1.392114,-1.255464,-0.329519,0.856842,-0.526672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.512820,0.775360,0.660337,-1.392582,-1.252815,-0.328581,0.857663,-0.527040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.514857,0.775563,0.661858,-1.392978,-1.250160,-0.327651,0.858474,-0.527402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.516797,0.775760,0.663366,-1.393306,-1.247480,-0.326722,0.859280,-0.527762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.518872,0.775960,0.664895,-1.393573,-1.244720,-0.325774,0.860098,-0.528125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.520857,0.776153,0.666380,-1.393768,-1.241990,-0.324845,0.860893,-0.528477,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.522870,0.776345,0.667878,-1.393899,-1.239190,-0.323902,0.861699,-0.528833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.524863,0.776533,0.669361,-1.393964,-1.236372,-0.322964,0.862497,-0.529185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.526797,0.776718,0.670827,-1.393964,-1.233538,-0.322027,0.863289,-0.529531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.528890,0.776902,0.672296,-1.393899,-1.230650,-0.321084,0.864083,-0.529878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.530859,0.777081,0.673743,-1.393772,-1.227757,-0.320146,0.864869,-0.530220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.532855,0.777259,0.675187,-1.393581,-1.224821,-0.319205,0.865655,-0.530559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.534853,0.777432,0.676622,-1.393326,-1.221857,-0.318263,0.866437,-0.530897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.536843,0.777604,0.678049,-1.393011,-1.218858,-0.317320,0.867218,-0.531232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.538858,0.777774,0.679474,-1.392630,-1.215812,-0.316370,0.868000,-0.531566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.540794,0.777941,0.680886,-1.392189,-1.212746,-0.315424,0.868778,-0.531896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.542868,0.778104,0.682290,-1.391687,-1.209646,-0.314475,0.869554,-0.532224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.544861,0.778264,0.683674,-1.391130,-1.206538,-0.313534,0.870321,-0.532547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.546880,0.778424,0.685075,-1.390502,-1.203347,-0.312575,0.871100,-0.532872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.548876,0.778578,0.686447,-1.389823,-1.200163,-0.311629,0.871866,-0.533191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.550861,0.778730,0.687810,-1.389088,-1.196951,-0.310682,0.872631,-0.533507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.552847,0.778879,0.689166,-1.388293,-1.193704,-0.309733,0.873394,-0.533820,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.554852,0.779026,0.690518,-1.387438,-1.190417,-0.308781,0.874156,-0.534132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
