time,j12,j13,j14,j15,j16,j17,j18,j19,j20,j21,j22,j23,j24,j25
0.500780,-1.585943,0.718111,0.977624,-1.227943,-0.006871,-0.417438,0.062209,-0.000262,0.000040,-0.000109,-0.000099,-0.000110,0.000079,0.000083
0.502806,-1.586059,0.717390,0.979173,-1.228953,-0.007101,-0.417935,0.062231,-0.000262,0.000041,-0.000110,-0.000098,-0.000111,0.000079,0.000083
0.504811,-1.586171,0.716680,0.980697,-1.229956,-0.007328,-0.418422,0.062251,-0.000262,0.000042,-0.000110,-0.000098,-0.000111,0.000080,0.000084
0.506880,-1.586283,0.715950,0.982266,-1.230997,-0.007565,-0.418922,0.062269,-0.000263,0.000043,-0.000110,-0.000098,-0.000111,0.000080,0.000084
0.508811,-1.586386,0.715266,0.983733,-1.231979,-0.007789,-0.419388,0.062284,-0.000263,0.000044,-0.000111,-0.000097,-0.000112,0.000081,0.000084
0.510864,-1.586491,0.714547,0.985278,-1.233023,-0.008026,-0.419877,0.062298,-0.000263,0.000045,-0.000111,-0.000097,-0.000112,0.000081,0.000085
0.512820,-1.586588,0.713863,0.986745,-1.234023,-0.008254,-0.420340,0.062309,-0.000263,0.000046,-0.000111,-0.000097,-0.000112,0.000081,0.000085
0.514857,-1.586686,0.713151,0.988274,-1.235074,-0.008494,-0.420820,0.062319,-0.000263,0.000047,-0.000112,-0.000096,-0.000113,0.000082,0.000085
0.516797,-1.586776,0.712479,0.989715,-1.236073,-0.008722,-0.421272,0.062326,-0.000264,0.000048,-0.000112,-0.000096,-0.000113,0.000082,0.000086
0.518872,-1.586869,0.711763,0.991250,-1.237147,-0.008967,-0.421751,0.062332,-0.000264,0.000049,-0.000112,-0.000096,-0.000113,0.000083,0.000086
0.520857,-1.586955,0.711080,0.992717,-1.238182,-0.009204,-0.422207,0.062337,-0.000264,0.000050,-0.000113,-0.000095,-0.000114,0.000083,0.000087
0.522870,-1.587039,0.710389,0.994200,-1.239237,-0.009445,-0.422666,0.062341,-0.000265,0.000051,-0.000113,-0.000095,-0.000114,0.000083,0.000087
0.524863,-1.587119,0.709705,0.995665,-1.240289,-0.009686,-0.423118,0.062343,-0.000265,0.000052,-0.000113,-0.000095,-0.000114,0.000084,0.000087
0.526797,-1.587194,0.709045,0.997082,-1.241314,-0.009920,-0.423554,0.062343,-0.000265,0.000053,-0.000114,-0.000094,-0.000115,0.000084,0.000088
0.528890,-1.587271,0.708334,0.998605,-1.242426,-0.010175,-0.424020,0.062340,-0.000266,0.000054,-0.000114,-0.000094,-0.000115,0.000085,0.000088
0.530859,-1.587341,0.707668,1.000033,-1.243478,-0.010417,-0.424456,0.062333,-0.000267,0.000055,-0.000114,-0.000094,-0.000115,0.000085,0.000088
0.532855,-1.587408,0.706996,1.001474,-1.244548,-0.010662,-0.424894,0.062324,-0.000267,0.000056,-0.000115,-0.000093,-0.000116,0.000085,0.000089
0.534853,-1.587472,0.706326,1.002911,-1.245624,-0.010909,-0.425328,0.062312,-0.000268,0.000057,-0.000115,-0.000093,-0.000116,0.000086,0.000089
0.536843,-1.587533,0.705661,1.004336,-1.246700,-0.011156,-0.425758,0.062298,-0.000269,0.000057,-0.000115,-0.000093,-0.000117,0.000086,0.000089
0.538858,-1.587592,0.704991,1.005772,-1.247794,-0.011408,-0.426189,0.062282,-0.000269,0.000058,-0.000116,-0.000092,-0.000117,0.000087,0.000090
0.540794,-1.587645,0.704349,1.007148,-1.248851,-0.011651,-0.426600,0.062264,-0.000270,0.000059,-0.000116,-0.000092,-0.000117,0.000087,0.000090
0.542868,-1.587698,0.703664,1.008616,-1.249988,-0.011913,-0.427037,0.062243,-0.000271,0.000060,-0.000116,-0.000091,-0.000118,0.000088,0.000091
0.544861,-1.587747,0.703009,1.010020,-1.251086,-0.012166,-0.427453,0.062220,-0.000272,0.000061,-0.000117,-0.000091,-0.000118,0.000088,0.000091
0.546880,-1.587792,0.702348,1.011437,-1.252202,-0.012423,-0.427871,0.062195,-0.000273,0.000062,-0.000117,-0.000091,-0.000118,0.000088,0.000091
0.548876,-1.587834,0.701697,1.012832,-1.253310,-0.012678,-0.428280,0.062169,-0.000274,0.000063,-0.000117,-0.000090,-0.000119,0.000089,0.000092
0.550861,-1.587873,0.701052,1.014214,-1.254418,-0.012934,-0.428684,0.062140,-0.000274,0.000064,-0.000117,-0.000090,-0.000119,0.000089,0.000092
0.552847,-1.587909,0.700409,1.015591,-1.255530,-0.013191,-0.429085,0.062109,-0.000275,0.000064,-0.000118,-0.000090,-0.000119,0.000090,0.000092
0.554852,-1.587941,0.699763,1.016975,-1.256658,-0.013451,-0.429486,0.062076,-0.000276,0.000065,-0.000118,-0.000089,-0.000120,0.000090,0.000093
0.556849,-1.587971,0.699123,1.018347,-1.257785,-0.013711,-0.429881,0.062041,-0.000277,0.000066,-0.000118,-0.000089,-0.000120,0.000090,0.000093
0.558850,-1.587997,0.698484,1.019718,-1.258920,-0.013974,-0.430275,0.062003,-0.000278,0.000067,-0.000119,-0.000089,-0.000120,0.000091,0.000093
0.560854,-1.588020,0.697844,1.021087,-1.260065,-0.014238,-0.430666,0.061964,-0.000279,0.000068,-0.000119,-0.000089,-0.000121,0.000091,0.000094
0.562874,-1.588040,0.697205,1.022459,-1.261220,-0.014506,-0.431055,0.061921,-0.000281,0.000069,-0.000119,-0.000088,-0.000121,0.000092,0.000094
0.564851,-1.588057,0.696581,1.023795,-1.262354,-0.014768,-0.431433,0.061878,-0.000282,0.000069,-0.000120,-0.000088,-0.000121,0.000092,0.000094
0.566848,-1.588070,0.695956,1.025136,-1.263503,-0.015034,-0.431810,0.061832,-0.000283,0.000070,-0.000120,-0.000088,-0.000122,0.000092,0.000095
0.568871,-1.588082,0.695323,1.026493,-1.264673,-0.015306,-0.432189,0.061784,-0.000284,0.000071,-0.000120,-0.000087,-0.000122,0.000093,0.000095
0.570873,-1.588091,0.694697,1.027835,-1.265841,-0.015577,-0.432563,0.061734,-0.000285,0.000072,-0.000121,-0.000087,-0.000122,0.000093,0.000095
