time,j12,j13,j14,j15,j16,j17,j18,j19,j20,j21,j22,j23,j24,j25
0.500780,-7.284469,-0.306867,-4.123601,-1.415360,0.016263,-0.678806,-0.134716,-0.156284,-0.151645,-0.008694,0.518241,-0.008716,-0.082806,-0.024677
0.502806,-7.285551,-0.305435,-4.129939,-1.410423,0.015856,-0.679324,-0.134905,-0.156596,-0.151635,-0.008670,0.518214,-0.008694,-0.082827,-0.024698
0.504811,-7.286579,-0.303974,-4.136151,-1.405599,0.015488,-0.679824,-0.135106,-0.156898,-0.151622,-0.008647,0.518186,-0.008672,-0.082848,-0.024720
0.506880,-7.287576,-0.302396,-4.142542,-1.400668,0.015106,-0.680322,-0.135339,-0.157174,-0.151608,-0.008622,0.518158,-0.008649,-0.082869,-0.024742
0.508811,-7.288560,-0.300790,-4.148601,-1.395735,0.014850,-0.680820,-0.135468,-0.157438,-0.151592,-0.008600,0.518133,-0.008628,-0.082889,-0.024762
0.510864,-7.289740,-0.298994,-4.155234,-1.389824,0.014738,-0.681374,-0.135476,-0.157902,-0.151575,-0.008575,0.518109,-0.008606,-0.082910,-0.024784
0.512820,-7.290586,-0.297499,-4.161229,-1.385162,0.014262,-0.681869,-0.135670,-0.158615,-0.151561,-0.008552,0.518090,-0.008584,-0.082930,-0.024805
0.514857,-7.291466,-0.295939,-4.167485,-1.380151,0.013889,-0.682386,-0.135881,-0.159629,-0.151544,-0.008528,0.518076,-0.008562,-0.082951,-0.024827
0.516797,-7.292380,-0.294323,-4.173620,-1.374691,0.013697,-0.682889,-0.136531,-0.160640,-0.151526,-0.008506,0.518069,-0.008540,-0.082971,-0.024848
0.518872,-7.293039,-0.292704,-4.179879,-1.369621,0.013079,-0.683349,-0.139876,-0.161554,-0.151509,-0.008482,0.518065,-0.008518,-0.082993,-0.024870
0.520857,-7.293573,-0.291177,-4.185832,-1.364506,0.012578,-0.683792,-0.146305,-0.162221,-0.151493,-0.008459,0.518062,-0.008496,-0.083013,-0.024892
