time,j12,j13,j14,j15,j16,j17,j18,j19,j20,j21,j22,j23,j24,j25
0.500780,-0.059168,-0.357354,0.767895,-0.496342,-0.112593,-0.247194,0.011980,-0.000057,0.000506,-0.000166,0.000166,-0.000179,0.000211,0.000185
0.502806,-0.057566,-0.356079,0.764996,-0.498893,-0.113266,-0.245448,0.010923,-0.000060,0.000503,-0.000165,0.000165,-0.000179,0.000211,0.000185
0.504811,-0.055982,-0.354819,0.762134,-0.501412,-0.113931,-0.243721,0.009877,-0.000062,0.000500,-0.000165,0.000164,-0.000178,0.000211,0.000184
0.506880,-0.054344,-0.353518,0.759178,-0.504015,-0.114619,-0.241934,0.008794,-0.000064,0.000497,-0.000164,0.000163,-0.000178,0.000210,0.000184
0.508811,-0.052806,-0.352290,0.756401,-0.506453,-0.115260,-0.240255,0.007776,-0.000068,0.000494,-0.000164,0.000162,-0.000177,0.000210,0.000183
0.510864,-0.051184,-0.350983,0.753461,-0.509011,-0.115926,-0.238479,0.006704,-0.000076,0.000491,-0.000163,0.000162,-0.000177,0.000209,0.000183
0.512820,-0.049637,-0.349731,0.750659,-0.511452,-0.116566,-0.236785,0.005679,-0.000087,0.000488,-0.000163,0.000163,-0.000176,0.000209,0.000183
0.514857,-0.048019,-0.348422,0.747731,-0.514003,-0.117234,-0.235013,0.004639,-0.000102,0.000485,-0.000163,0.000164,-0.000176,0.000209,0.000183
0.516797,-0.046492,-0.347177,0.744956,-0.516415,-0.117855,-0.233334,0.003767,-0.000119,0.000482,-0.000162,0.000166,-0.000176,0.000208,0.000183
0.518872,-0.044861,-0.345841,0.741992,-0.519007,-0.118522,-0.231537,0.002998,-0.000142,0.000479,-0.000162,0.000169,-0.000175,0.000208,0.000183
0.520857,-0.043296,-0.344554,0.739149,-0.521501,-0.119164,-0.229810,0.002375,-0.000167,0.000476,-0.000161,0.000171,-0.000175,0.000207,0.000183
0.522870,-0.041714,-0.343240,0.736263,-0.524015,-0.119805,-0.228059,0.001828,-0.000194,0.000474,-0.000161,0.000174,-0.000175,0.000207,0.000183
0.524863,-0.040138,-0.341938,0.733400,-0.526490,-0.120455,-0.226316,0.001142,-0.000220,0.000471,-0.000161,0.000176,-0.000174,0.000206,0.000183
0.526797,-0.038604,-0.340677,0.730621,-0.528851,-0.121086,-0.224625,0.000206,-0.000242,0.000468,-0.000160,0.000178,-0.000174,0.000206,0.000183
0.528890,-0.036932,-0.339317,0.727618,-0.531328,-0.121783,-0.222794,-0.001539,-0.000266,0.000465,-0.000160,0.000178,-0.000173,0.000206,0.000183
0.530859,-0.035349,-0.338042,0.724796,-0.533646,-0.122432,-0.221069,-0.003535,-0.000288,0.000461,-0.000160,0.000179,-0.000173,0.000205,0.000183
0.532855,-0.033758,-0.336747,0.721943,-0.536086,-0.123048,-0.219327,-0.004829,-0.000312,0.000457,-0.000159,0.000179,-0.000173,0.000205,0.000183
0.534853,-0.032171,-0.335447,0.719087,-0.538535,-0.123671,-0.217580,-0.005946,-0.000333,0.000454,-0.000159,0.000178,-0.000172,0.000205,0.000182
0.536843,-0.030594,-0.334150,0.716242,-0.540963,-0.124294,-0.215839,-0.007014,-0.000352,0.000450,-0.000158,0.000178,-0.000172,0.000204,0.000182
0.538858,-0.028997,-0.332832,0.713363,-0.543414,-0.124929,-0.214074,-0.008085,-0.000371,0.000447,-0.000158,0.000177,-0.000171,0.000204,0.000181
0.540794,-0.027460,-0.331560,0.710596,-0.545769,-0.125542,-0.212375,-0.009114,-0.000389,0.000444,-0.000157,0.000175,-0.000171,0.000203,0.000181
