time,j0,j1,j2,j3,j4,j5,j6
0.000000,1.639821,1.024665,0.402584,0.902801,-0.313671,0.338006,0.129949
0.000051,1.639547,1.024585,0.402285,0.902258,-0.314940,0.338330,0.129970
0.000072,1.639271,1.024502,0.401985,0.901716,-0.316211,0.338653,0.129990
0.000988,1.638993,1.024416,0.401684,0.901177,-0.317484,0.338973,0.130009
0.002840,1.638713,1.024328,0.401383,0.900638,-0.318758,0.339292,0.130026
0.004826,1.638430,1.024238,0.401081,0.900102,-0.320033,0.339609,0.130043
0.006808,1.638146,1.024145,0.400779,0.899566,-0.321310,0.339923,0.130058
0.008811,1.637859,1.024050,0.400477,0.899033,-0.322589,0.340236,0.130072
0.010808,1.637570,1.023952,0.400174,0.898500,-0.323869,0.340547,0.130085
0.012828,1.637279,1.023852,0.399870,0.897970,-0.325150,0.340856,0.130097
0.014877,1.636986,1.023750,0.399567,0.897441,-0.326433,0.341163,0.130108
0.016800,1.636690,1.023645,0.399262,0.896913,-0.327718,0.341469,0.130118
0.018815,1.636393,1.023538,0.398958,0.896387,-0.329004,0.341772,0.130126
0.020810,1.636093,1.023428,0.398652,0.895863,-0.330291,0.342073,0.130133
0.022814,1.635791,1.023316,0.398347,0.895340,-0.331580,0.342372,0.130140
0.024805,1.635487,1.023201,0.398041,0.894819,-0.332870,0.342670,0.130145
0.026851,1.635181,1.023084,0.397734,0.894299,-0.334162,0.342965,0.130149
0.028989,1.634873,1.022965,0.397427,0.893781,-0.335455,0.343259,0.130151
0.031003,1.634562,1.022843,0.397120,0.893265,-0.336749,0.343551,0.130153
0.032855,1.634250,1.022718,0.396812,0.892749,-0.338045,0.343841,0.130153
0.034820,1.633935,1.022592,0.396503,0.892236,-0.339342,0.344129,0.130152
0.036836,1.633618,1.022463,0.396194,0.891724,-0.340641,0.344415,0.130151
0.038809,1.633299,1.022331,0.395885,0.891214,-0.341941,0.344699,0.130148
0.040851,1.632978,1.022197,0.395575,0.890705,-0.343242,0.344981,0.130143
0.042808,1.632654,1.022061,0.395265,0.890198,-0.344545,0.345261,0.130138
0.044818,1.632328,1.021922,0.394955,0.889692,-0.345849,0.345540,0.130132
0.046843,1.632000,1.021781,0.394644,0.889189,-0.347154,0.345816,0.130124
0.048831,1.631670,1.021636,0.394332,0.888686,-0.348461,0.346091,0.130115
0.050807,1.631338,1.021490,0.394020,0.888185,-0.349769,0.346363,0.130105
0.052831,1.631004,1.021342,0.393708,0.887686,-0.351078,0.346634,0.130094
0.054812,1.630668,1.021191,0.393395,0.887189,-0.352389,0.346903,0.130082
0.056831,1.630329,1.021037,0.393082,0.886693,-0.353701,0.347170,0.130069
0.058820,1.629989,1.020881,0.392768,0.886198,-0.355014,0.347435,0.130054
0.060820,1.629646,1.020722,0.392454,0.885706,-0.356329,0.347698,0.130039
0.062808,1.629300,1.020561,0.392140,0.885214,-0.357644,0.347959,0.130022
0.064806,1.628953,1.020398,0.391825,0.884725,-0.358961,0.348218,0.130004
0.066818,1.628604,1.020232,0.391509,0.884237,-0.360280,0.348475,0.129985
0.068852,1.628252,1.020064,0.391194,0.883751,-0.361599,0.348731,0.129965
0.070811,1.627898,1.019893,0.390877,0.883266,-0.362920,0.348984,0.129943
0.072824,1.627542,1.019720,0.390561,0.882783,-0.364242,0.349236,0.129921
0.074813,1.627183,1.019545,0.390244,0.882302,-0.365565,0.349485,0.129897
0.076839,1.626823,1.019366,0.389927,0.881822,-0.366889,0.349733,0.129873
0.078831,1.626460,1.019186,0.389609,0.881344,-0.368215,0.349979,0.129847
0.080812,1.626096,1.019003,0.389290,0.880867,-0.369542,0.350223,0.129820
0.082854,1.625729,1.018818,0.388971,0.880393,-0.370870,0.350465,0.129791
0.084799,1.625360,1.018630,0.388652,0.879919,-0.372199,0.350705,0.129762
0.086808,1.624988,1.018439,0.388333,0.879448,-0.373529,0.350943,0.129732
0.088825,1.624615,1.018246,0.388013,0.878978,-0.374861,0.351180,0.129700
0.090811,1.624239,1.018051,0.387693,0.878509,-0.376193,0.351414,0.129667
0.092817,1.623861,1.017854,0.387372,0.878043,-0.377527,0.351646,0.129633
0.094801,1.623481,1.017653,0.387051,0.877578,-0.378862,0.351877,0.129598
0.096811,1.623099,1.017451,0.386729,0.877114,-0.380198,0.352105,0.129562
0.098819,1.622714,1.017246,0.386407,0.876652,-0.381535,0.352332,0.129525
0.100798,1.622328,1.017038,0.386084,0.876192,-0.382873,0.352557,0.129486
0.102900,1.621939,1.016828,0.385762,0.875734,-0.384212,0.352780,0.129447
0.105032,1.621548,1.016615,0.385438,0.875277,-0.385552,0.353001,0.129407
0.106927,1.621155,1.016400,0.385115,0.874822,-0.386893,0.353220,0.129364
0.108876,1.620759,1.016183,0.384791,0.874369,-0.388236,0.353437,0.129322
0.110861,1.620362,1.015963,0.384467,0.873917,-0.389579,0.353652,0.129278
0.112908,1.619962,1.015741,0.384142,0.873467,-0.390924,0.353865,0.129233
0.114815,1.619560,1.015516,0.383817,0.873019,-0.392270,0.354077,0.129186
0.116821,1.619156,1.015289,0.383491,0.872572,-0.393616,0.354286,0.129139
0.118810,1.618749,1.015059,0.383165,0.872127,-0.394964,0.354494,0.129090
0.120805,1.618341,1.014827,0.382839,0.871684,-0.396312,0.354699,0.129040
0.122812,1.617930,1.014592,0.382512,0.871242,-0.397662,0.354903,0.128990
0.124792,1.617517,1.014354,0.382185,0.870802,-0.399013,0.355105,0.128938
0.126848,1.617102,1.014115,0.381857,0.870364,-0.400364,0.355305,0.128885
0.128821,1.616684,1.013872,0.381529,0.869928,-0.401717,0.355503,0.128830
0.130810,1.616265,1.013627,0.381201,0.869493,-0.403070,0.355700,0.128775
0.132817,1.615843,1.013380,0.380872,0.869060,-0.404425,0.355894,0.128719
0.134824,1.615419,1.013131,0.380544,0.868628,-0.405780,0.356086,0.128662
0.136888,1.614993,1.012879,0.380214,0.868198,-0.407137,0.356276,0.128603
0.138794,1.614565,1.012624,0.379884,0.867770,-0.408494,0.356465,0.128543
0.140816,1.614134,1.012367,0.379554,0.867344,-0.409852,0.356651,0.128483
0.142818,1.613702,1.012107,0.379223,0.866919,-0.411211,0.356836,0.128420
0.144817,1.613267,1.011845,0.378893,0.866496,-0.412571,0.357019,0.128357
0.146813,1.612830,1.011580,0.378561,0.866075,-0.413932,0.357200,0.128293
0.148818,1.612390,1.011313,0.378230,0.865655,-0.415294,0.357378,0.128227
0.150865,1.611949,1.011044,0.377898,0.865238,-0.416657,0.357556,0.128161
0.152783,1.611505,1.010771,0.377565,0.864822,-0.418020,0.357731,0.128093
0.154806,1.611059,1.010497,0.377233,0.864407,-0.419385,0.357904,0.128025
0.156881,1.610611,1.010220,0.376900,0.863994,-0.420750,0.358075,0.127955
0.158812,1.610160,1.009940,0.376566,0.863584,-0.422116,0.358244,0.127884
0.160822,1.609708,1.009658,0.376232,0.863174,-0.423483,0.358412,0.127812
0.162830,1.609253,1.009373,0.375898,0.862767,-0.424851,0.358577,0.127739
0.164830,1.608796,1.009086,0.375563,0.862361,-0.426219,0.358741,0.127665
0.166815,1.608337,1.008797,0.375228,0.861957,-0.427589,0.358902,0.127589
0.168818,1.607875,1.008505,0.374893,0.861555,-0.428959,0.359062,0.127513
0.170811,1.607412,1.008210,0.374557,0.861154,-0.430330,0.359220,0.127436
0.172808,1.606946,1.007913,0.374222,0.860755,-0.431702,0.359376,0.127356
0.174807,1.606478,1.007613,0.373885,0.860359,-0.433074,0.359530,0.127276
0.176824,1.606008,1.007311,0.373548,0.859963,-0.434447,0.359682,0.127196
0.178857,1.605535,1.007007,0.373211,0.859570,-0.435821,0.359832,0.127114
0.180827,1.605061,1.006700,0.372874,0.859178,-0.437196,0.359981,0.127031
0.182822,1.604584,1.006390,0.372536,0.858788,-0.438571,0.360127,0.126947
0.184814,1.604105,1.006078,0.372198,0.858399,-0.439948,0.360271,0.126861
0.186816,1.603624,1.005763,0.371860,0.858013,-0.441325,0.360414,0.126774
0.188822,1.603140,1.005446,0.371521,0.857628,-0.442702,0.360554,0.126687
0.190819,1.602654,1.005126,0.371182,0.857245,-0.444080,0.360693,0.126598
0.192898,1.602166,1.004804,0.370842,0.856864,-0.445459,0.360830,0.126509
0.194813,1.601676,1.004479,0.370502,0.856484,-0.446839,0.360964,0.126418
0.196837,1.601184,1.004152,0.370163,0.856106,-0.448219,0.361097,0.126326
0.198806,1.600690,1.003822,0.369822,0.855730,-0.449600,0.361228,0.126233
0.200801,1.600193,1.003489,0.369481,0.855356,-0.450982,0.361358,0.126139
0.202801,1.599694,1.003155,0.369140,0.854984,-0.452364,0.361485,0.126044
0.204829,1.599193,1.002817,0.368799,0.854613,-0.453747,0.361610,0.125947
