time,j0,j1,j2,j3,j4,j5,j6
0.000000,-0.135880,-0.039175,-0.149610,-0.272217,-0.633953,0.163172,0.011000
0.000051,-0.136962,-0.040110,-0.149854,-0.271405,-0.634730,0.162231,0.010500
0.000072,-0.138003,-0.041373,-0.150004,-0.270660,-0.635504,0.161264,0.010000
0.000988,-0.139120,-0.042869,-0.150286,-0.269910,-0.636251,0.160281,0.009500
0.002840,-0.140185,-0.044074,-0.150556,-0.269105,-0.636997,0.159285,0.008500
0.004826,-0.141213,-0.045291,-0.150818,-0.268364,-0.637766,0.158283,0.008500
0.006808,-0.142325,-0.046279,-0.151075,-0.267619,-0.638533,0.157368,0.007500
0.008811,-0.143385,-0.047489,-0.151235,-0.266872,-0.639274,0.156413,0.007000
0.010808,-0.144414,-0.048985,-0.151429,-0.266121,-0.640014,0.155440,0.006500
0.012828,-0.145521,-0.049963,-0.151737,-0.265313,-0.640755,0.154542,0.006000
0.014877,-0.146583,-0.051178,-0.151930,-0.264516,-0.641495,0.153602,0.005500
0.016800,-0.147610,-0.052412,-0.152143,-0.263726,-0.642236,0.152634,0.005000
0.018815,-0.148718,-0.053630,-0.152370,-0.262944,-0.642953,0.151648,0.004000
0.020810,-0.149871,-0.054864,-0.152605,-0.262167,-0.643672,0.150651,0.003500
0.022814,-0.150962,-0.056083,-0.152846,-0.261394,-0.644393,0.149647,0.003500
0.024805,-0.152007,-0.057316,-0.152996,-0.260623,-0.645116,0.148736,0.002500
0.026851,-0.153125,-0.058535,-0.153276,-0.259856,-0.645818,0.147782,0.002000
0.028989,-0.154191,-0.059768,-0.153545,-0.259090,-0.646523,0.146808,0.001000
0.031003,-0.155227,-0.060988,-0.153714,-0.258326,-0.647232,0.145913,0.001000
0.032855,-0.156332,-0.062220,-0.153912,-0.257562,-0.647920,0.144972,0.000000
0.034820,-0.157396,-0.063245,-0.154222,-0.256742,-0.648613,0.144003,-0.000500
0.036836,-0.158427,-0.064430,-0.154510,-0.255936,-0.649311,0.143016,-0.000500
0.038809,-0.159532,-0.065843,-0.154691,-0.255140,-0.649990,0.142017,-0.001500
0.040851,-0.160680,-0.067113,-0.154805,-0.254354,-0.650651,0.141113,-0.002500
0.042808,-0.161772,-0.068159,-0.155060,-0.253572,-0.651343,0.140162,-0.002500
0.044818,-0.162821,-0.069339,-0.155314,-0.252738,-0.652017,0.139189,-0.003000
0.046843,-0.163936,-0.070738,-0.155474,-0.251921,-0.652673,0.138195,-0.004000
0.048831,-0.165005,-0.072012,-0.155758,-0.251176,-0.653338,0.137196,-0.004500
0.050807,-0.166043,-0.073072,-0.155939,-0.250427,-0.654010,0.136291,-0.005000
0.052831,-0.167146,-0.074248,-0.156143,-0.249617,-0.654665,0.135341,-0.005500
0.054812,-0.168211,-0.075634,-0.156456,-0.248759,-0.655305,0.134364,-0.006000
0.056831,-0.169244,-0.076911,-0.156655,-0.247925,-0.655955,0.133478,-0.006500
0.058820,-0.170347,-0.077983,-0.156781,-0.247168,-0.656613,0.132535,-0.007500
0.060820,-0.171491,-0.079157,-0.156951,-0.246410,-0.657256,0.131566,-0.007500
