time,j0,j1,j2,j3,j4,j5,j6
0.000000,-0.546179,-0.616371,-0.116251,0.380575,-0.364525,-0.472173,-0.287296
0.001818,-0.546463,-0.616600,-0.115948,0.381260,-0.362321,-0.472139,-0.287285
0.003773,-0.546744,-0.616830,-0.115645,0.381943,-0.360114,-0.472104,-0.287272
0.005743,-0.547023,-0.617062,-0.115342,0.382623,-0.357905,-0.472068,-0.287257
0.007735,-0.547300,-0.617295,-0.115037,0.383300,-0.355693,-0.472032,-0.287240
0.009733,-0.547575,-0.617530,-0.114731,0.383974,-0.353478,-0.471996,-0.287222
0.011754,-0.547848,-0.617766,-0.114425,0.384646,-0.351261,-0.471959,-0.287201
0.013797,-0.548118,-0.618004,-0.114118,0.385315,-0.349041,-0.471922,-0.287179
0.015724,-0.548386,-0.618243,-0.113810,0.385982,-0.346819,-0.471885,-0.287155
0.017740,-0.548651,-0.618484,-0.113501,0.386646,-0.344595,-0.471847,-0.287129
0.019734,-0.548915,-0.618726,-0.113191,0.387307,-0.342368,-0.471810,-0.287102
0.021739,-0.549176,-0.618970,-0.112881,0.387966,-0.340139,-0.471772,-0.287072
0.023761,-0.549435,-0.619215,-0.112569,0.388622,-0.337907,-0.471734,-0.287041
0.025935,-0.549691,-0.619461,-0.112257,0.389276,-0.335673,-0.471696,-0.287008
0.027919,-0.549946,-0.619709,-0.111944,0.389927,-0.333437,-0.471659,-0.286973
0.029910,-0.550198,-0.619958,-0.111630,0.390575,-0.331198,-0.471621,-0.286936
0.031823,-0.550447,-0.620209,-0.111316,0.391221,-0.328957,-0.471583,-0.286897
0.033782,-0.550695,-0.620461,-0.111000,0.391865,-0.326714,-0.471546,-0.286857
0.035800,-0.550940,-0.620714,-0.110684,0.392506,-0.324469,-0.471508,-0.286814
0.037726,-0.551182,-0.620969,-0.110367,0.393144,-0.322222,-0.471471,-0.286770
0.039749,-0.551423,-0.621225,-0.110049,0.393780,-0.319973,-0.471434,-0.286724
0.041781,-0.551661,-0.621482,-0.109730,0.394413,-0.317721,-0.471398,-0.286677
0.043793,-0.551896,-0.621741,-0.109410,0.395044,-0.315468,-0.471362,-0.286627
0.045774,-0.552130,-0.622001,-0.109090,0.395673,-0.313212,-0.471326,-0.286575
0.047755,-0.552361,-0.622262,-0.108768,0.396299,-0.310954,-0.471291,-0.286522
0.049720,-0.552589,-0.622524,-0.108446,0.396923,-0.308695,-0.471257,-0.286467
0.051749,-0.552815,-0.622788,-0.108123,0.397544,-0.306433,-0.471223,-0.286410
0.053748,-0.553039,-0.623053,-0.107800,0.398163,-0.304170,-0.471189,-0.286351
