time,j0,j1,j2,j3,j4,j5,j6
0.000000,6.570000,-6.930000,-7.065000,0.225000,-7.536000,3.576000,-1.320000
0.002360,6.030000,-7.110000,-7.830000,-0.045000,-7.416000,3.264000,-1.488000
0.004871,6.030000,-6.930000,-9.180000,0.045000,-7.776000,3.792000,-1.608000
0.007410,8.190000,-5.760000,-6.705000,1.395000,-5.952000,3.480000,-1.584000
0.009792,8.640000,-5.760000,-4.680000,1.440000,-6.024000,2.928000,-1.752000
0.012128,6.570000,-7.290000,-6.570000,-0.360000,-7.752000,3.384000,-2.160000
0.014455,6.300000,-7.740000,-8.460000,-1.125000,-7.752000,2.976000,-2.328000
0.016776,5.850000,-7.830000,-8.730000,-0.225000,-7.776000,3.360000,-2.424000
0.019127,8.460000,-6.300000,-6.750000,2.340000,-5.904000,2.640000,-2.280000
0.021481,8.460000,-6.300000,-5.625000,2.160000,-5.880000,2.784000,-2.304000
0.023804,8.910000,-6.660000,-7.515000,1.395000,-5.976000,2.352000,-2.376000
0.026104,5.310000,-9.000000,-9.090000,-0.405000,-7.896000,2.784000,-2.760000
0.028442,5.490000,-8.460000,-8.190000,-0.000000,-8.088000,2.472000,-2.832000
0.030879,5.400000,-9.000000,-7.020000,0.450000,-7.992000,2.736000,-2.832000
0.033132,8.280000,-7.650000,-5.850000,0.990000,-6.120000,2.592000,-2.616000
0.035442,9.000000,-7.470000,-7.740000,1.035000,-6.024000,2.424000,-2.640000
0.037752,8.550000,-8.010000,-6.390000,1.530000,-6.264000,2.352000,-2.688000
0.040078,5.220000,-10.260000,-7.965000,-1.665000,-8.496000,2.856000,-2.976000
0.042413,5.310000,-10.080000,-7.290000,-1.170000,-8.496000,2.472000,-2.904000
0.044733,5.040000,-10.440000,-9.405000,-0.630000,-8.184000,3.000000,-2.976000
0.047326,8.370000,-9.270000,-8.235000,1.305000,-6.144000,2.400000,-2.832000
0.049703,8.010000,-9.000000,-6.795000,0.495000,-5.928000,2.400000,-2.928000
0.052023,3.960000,-10.530000,-7.920000,0.585000,-8.040000,2.544000,-2.976000
0.054366,3.780000,-11.250000,-7.245000,-0.000000,-7.896000,2.808000,-2.952000
0.056673,4.140000,-11.160000,-9.090000,-0.405000,-7.896000,2.304000,-2.880000
0.059031,7.560000,-8.370000,-7.740000,1.935000,-6.264000,2.424000,-3.000000
0.061369,7.830000,-8.640000,-6.210000,1.935000,-6.216000,2.040000,-3.000000
0.063670,7.740000,-8.010000,-5.265000,1.440000,-6.480000,2.328000,-3.048000
0.065995,4.860000,-9.720000,-6.795000,0.810000,-7.992000,2.496000,-3.240000
0.068362,4.500000,-9.720000,-8.550000,-0.000000,-7.992000,2.424000,-3.192000
0.070684,4.680000,-10.080000,-8.550000,-0.540000,-7.704000,2.688000,-3.168000
0.073006,8.460000,-8.010000,-6.615000,1.935000,-6.240000,2.400000,-2.856000
0.075384,8.820000,-7.470000,-4.815000,1.620000,-5.928000,2.640000,-3.072000
0.077713,8.460000,-7.740000,-6.525000,0.855000,-5.952000,2.256000,-3.192000
0.080030,4.410000,-9.180000,-8.010000,0.405000,-7.824000,2.808000,-3.312000
0.082378,5.490000,-9.360000,-8.325000,0.135000,-7.680000,2.712000,-3.264000
0.084673,5.040000,-9.180000,-6.705000,-0.675000,-7.848000,2.376000,-3.336000
0.086979,8.370000,-6.660000,-4.545000,1.575000,-5.904000,2.736000,-3.264000
0.089370,8.730000,-6.930000,-5.490000,0.900000,-5.904000,2.328000,-3.312000
0.091714,8.460000,-6.210000,-6.525000,1.440000,-5.784000,1.920000,-3.504000
0.094031,4.590000,-8.730000,-9.000000,-0.765000,-7.488000,2.616000,-3.504000
0.096349,5.400000,-8.280000,-7.380000,-0.180000,-7.680000,2.400000,-3.456000
0.098674,5.490000,-8.190000,-6.840000,0.180000,-7.536000,2.064000,-3.552000
0.100984,8.640000,-5.670000,-4.905000,1.800000,-5.952000,2.400000,-3.408000
0.103314,9.630000,-5.400000,-6.660000,2.205000,-5.568000,1.944000,-3.480000
0.105624,9.000000,-5.850000,-5.940000,2.430000,-5.616000,1.872000,-3.432000
0.107934,8.370000,-5.490000,-4.770000,1.710000,-5.544000,2.136000,-3.312000
0.110262,5.940000,-8.010000,-6.075000,0.225000,-7.752000,2.088000,-3.624000
0.112674,5.580000,-8.460000,-7.425000,-0.450000,-7.680000,2.016000,-3.720000
0.114953,5.760000,-8.190000,-8.280000,-0.945000,-7.752000,2.256000,-3.816000
0.117301,9.270000,-5.670000,-7.020000,0.990000,-5.664000,1.896000,-3.264000
0.119617,9.540000,-5.490000,-5.625000,1.305000,-5.760000,1.896000,-3.384000
0.121922,9.090000,-5.400000,-5.400000,2.745000,-6.288000,2.016000,-3.480000
0.124254,5.130000,-8.280000,-6.840000,0.495000,-8.232000,2.184000,-3.600000
