time,j0,j1,j2,j3,j4,j5,j6
0.000000,-0.763514,-0.514607,0.195224,-0.551043,-1.434227,-0.691153,-0.030106
0.000975,0.095792,-0.819499,2.628402,1.024316,2.907904,-1.967045,-0.586757
0.004678,-1.014770,-0.672518,-2.871190,0.799460,-0.919764,0.092860,-0.189051
0.006674,0.146013,-0.234638,-0.885185,-1.789639,-1.298776,-0.834037,-0.293177
0.008672,-1.931427,-0.436394,3.086583,2.095442,1.402129,0.619157,-0.669761
0.010673,0.678102,-0.701126,-2.027820,1.388235,-4.031558,-1.483681,-0.181725
0.012674,-1.455369,-0.431876,0.366646,-1.909475,-0.390022,-0.434525,-0.350800
0.014722,0.411964,-0.809845,1.026547,1.199275,2.968728,-0.002636,-0.014420
0.018677,-1.391296,-0.273980,0.611528,-0.188368,-1.274863,1.372744,-0.379049
0.020672,-0.045173,-0.664670,-2.122612,-0.452708,-1.605991,-1.053915,-0.460703
0.022675,-0.741241,-0.267343,-0.189673,1.150224,2.019131,-1.347900,-0.182088
0.024674,-0.483853,-0.776077,2.793700,0.884233,-1.866199,-1.137525,-0.063425
0.026674,-0.247603,-0.147806,-0.853219,-0.618320,-1.451602,-0.916053,-0.317087
0.030721,-0.377033,-0.720023,-2.703008,0.424690,2.580910,0.853868,-0.189084
0.032693,-0.867046,-0.854038,2.847371,0.093395,0.048452,-2.602788,-0.228793
0.034675,-0.249775,-0.668507,0.089268,1.254969,-2.267814,-0.081599,-0.325827
0.036675,-0.947517,-0.413912,0.652233,0.200396,-1.315390,-1.390558,-0.431958
0.038673,-0.824458,-0.624127,-3.903663,2.065441,2.214566,2.659434,-0.082444
0.042670,-1.638819,-0.716660,2.513651,-1.981565,0.667931,-1.893013,-0.392012
0.044675,-0.484251,-0.543031,0.261611,0.245607,-1.347917,-0.386126,-0.299962
0.046691,-0.689466,-0.887084,-2.710933,0.790747,-1.468699,-0.512156,0.103224
0.048678,0.767171,-1.141070,0.449228,-0.066521,0.150711,-0.169631,-0.705501
0.050670,-1.760000,-0.460760,-0.894180,3.293407,0.343160,-1.247375,-0.285835
0.052675,0.417261,-1.048341,1.772667,-1.101921,-2.580341,-1.373365,-0.466351
0.056686,0.680290,-0.366821,-2.856357,-1.963074,2.321745,0.794098,0.137048
0.058677,-0.912262,-0.413711,-0.582321,4.819722,-0.141959,0.017895,-0.340861
0.060673,-0.899543,-1.344978,2.350203,-1.542824,-3.770932,-1.465132,-0.454179
0.062674,-1.559900,-0.260359,-2.480306,2.830133,0.073544,1.503277,0.479334
0.064672,-0.249263,-1.416122,0.201112,-2.428146,-0.328586,0.374533,-0.458381
0.066673,-0.549415,-0.518774,0.877373,0.380605,2.186240,-2.017565,0.073014
0.070671,-0.016357,-0.694073,1.614109,0.564068,-1.561664,1.693244,-0.283670
0.072677,-0.528855,-0.600241,-3.738573,-0.517027,-0.598668,-2.086085,0.064293
0.074673,-1.102274,-1.681891,-0.501924,2.177148,-0.842976,-1.274247,0.101304
0.076675,-0.451802,0.044461,2.395372,-1.433635,2.398045,1.553499,-0.309528
0.078677,-0.850237,-0.894966,-0.165768,1.312170,-2.698741,-2.799182,0.251771
0.080674,0.148210,-0.064886,0.691540,2.426855,-1.490821,0.159720,-0.036842
