time,j0,j1,j2,j3,j4,j5,j6
0.000000,1.626067,1.018918,0.389348,0.881083,-0.369181,0.350073,0.130055
0.002332,1.625521,1.018640,0.388873,0.880367,-0.371179,0.350430,0.130036
0.004694,1.625155,1.018452,0.388553,0.879896,-0.372515,0.350668,0.130021
0.007063,1.624784,1.018261,0.388239,0.879425,-0.373847,0.350900,0.130003
0.009716,1.624226,1.017970,0.387758,0.878726,-0.375846,0.351249,0.129972
0.012125,1.623851,1.017774,0.387433,0.878260,-0.377182,0.351482,0.129948
0.014458,1.623282,1.017475,0.386953,0.877559,-0.379188,0.351830,0.129910
0.016790,1.622902,1.017274,0.386634,0.877097,-0.380524,0.352065,0.129881
0.019136,1.622519,1.017071,0.386315,0.876632,-0.381857,0.352290,0.129851
0.021468,1.621941,1.016762,0.385831,0.875941,-0.383862,0.352634,0.129801
0.023791,1.621553,1.016552,0.385507,0.875483,-0.385200,0.352857,0.129764
0.026136,1.621160,1.016340,0.385190,0.875031,-0.386542,0.353086,0.129724
0.028442,1.620569,1.016019,0.384707,0.874357,-0.388553,0.353418,0.129660
0.030777,1.620174,1.015801,0.384384,0.873905,-0.389894,0.353640,0.129614
0.033106,1.619777,1.015581,0.384057,0.873455,-0.391230,0.353857,0.129567
0.035468,1.619176,1.015248,0.383571,0.872786,-0.393244,0.354179,0.129492
0.037780,1.618772,1.015021,0.383249,0.872343,-0.394588,0.354387,0.129441
0.040094,1.618367,1.014795,0.382924,0.871898,-0.395932,0.354597,0.129387
0.042416,1.617755,1.014449,0.382439,0.871237,-0.397941,0.354903,0.129301
0.044745,1.617343,1.014215,0.382109,0.870799,-0.399286,0.355106,0.129242
0.047092,1.616926,1.013979,0.381787,0.870362,-0.400636,0.355302,0.129180
0.049661,1.616300,1.013621,0.381297,0.869704,-0.402671,0.355603,0.129088
0.052043,1.615881,1.013379,0.380968,0.869272,-0.404031,0.355795,0.129025
0.054361,1.615249,1.013009,0.380476,0.868622,-0.406065,0.356089,0.128928
0.056701,1.614823,1.012758,0.380143,0.868193,-0.407420,0.356276,0.128861
0.059025,1.614394,1.012504,0.379815,0.867765,-0.408776,0.356468,0.128792
0.061366,1.613748,1.012117,0.379317,0.867127,-0.410816,0.356747,0.128685
0.063672,1.613314,1.011854,0.378984,0.866701,-0.412173,0.356934,0.128613
0.066008,1.612879,1.011588,0.378647,0.866279,-0.413533,0.357113,0.128540
0.068328,1.612222,1.011183,0.378147,0.865649,-0.415575,0.357379,0.128432
0.070695,1.611781,1.010910,0.377816,0.865234,-0.416941,0.357555,0.128358
0.073035,1.611335,1.010634,0.377484,0.864819,-0.418309,0.357724,0.128281
0.075340,1.610661,1.010217,0.376983,0.864198,-0.420360,0.357981,0.128164
0.077687,1.610210,1.009935,0.376643,0.863787,-0.421727,0.358143,0.128087
0.080050,1.609758,1.009650,0.376311,0.863379,-0.423092,0.358309,0.128010
0.082365,1.609075,1.009218,0.375808,0.862764,-0.425145,0.358555,0.127893
0.084685,1.608615,1.008927,0.375473,0.862358,-0.426520,0.358714,0.127813
0.087024,1.608155,1.008633,0.375133,0.861957,-0.427890,0.358876,0.127731
0.089319,1.607458,1.008187,0.374626,0.861354,-0.429943,0.359111,0.127608
0.091704,1.606990,1.007888,0.374290,0.860959,-0.431316,0.359268,0.127525
0.094049,1.606523,1.007584,0.373957,0.860561,-0.432694,0.359426,0.127444
0.096367,1.605816,1.007126,0.373453,0.859968,-0.434762,0.359653,0.127316
0.098684,1.605342,1.006817,0.373115,0.859574,-0.436142,0.359806,0.127227
0.101005,1.604865,1.006506,0.372772,0.859181,-0.437522,0.359956,0.127139
0.103320,1.604142,1.006034,0.372267,0.858595,-0.439584,0.360172,0.127005
0.105620,1.603660,1.005716,0.371933,0.858207,-0.440966,0.360319,0.126916
0.107959,1.603174,1.005396,0.371594,0.857821,-0.442345,0.360464,0.126824
0.110284,1.602688,1.005074,0.371252,0.857439,-0.443721,0.360602,0.126730
0.112597,1.601954,1.004590,0.370742,0.856869,-0.445785,0.360811,0.126589
0.114929,1.601461,1.004264,0.370402,0.856492,-0.447160,0.360947,0.126494
0.117261,1.600966,1.003935,0.370065,0.856119,-0.448539,0.361077,0.126400
0.119606,1.600219,1.003438,0.369555,0.855555,-0.450611,0.361275,0.126251
0.121952,1.599719,1.003102,0.369215,0.855184,-0.451984,0.361404,0.126151
0.124262,1.599219,1.002765,0.368872,0.854809,-0.453359,0.361528,0.126052
0.126603,1.598466,1.002254,0.368360,0.854255,-0.455422,0.361713,0.125901
0.128916,1.597959,1.001913,0.368022,0.853886,-0.456801,0.361836,0.125797
0.131223,1.597449,1.001570,0.367678,0.853523,-0.458183,0.361956,0.125691
0.133601,1.596682,1.001049,0.367164,0.852981,-0.460249,0.362128,0.125532
0.136016,1.596169,1.000700,0.366817,0.852620,-0.461628,0.362245,0.125427
0.138324,1.595397,1.000169,0.366305,0.852083,-0.463702,0.362412,0.125261
0.140635,1.594879,0.999812,0.365963,0.851728,-0.465093,0.362517,0.125151
0.142982,1.594357,0.999455,0.365622,0.851371,-0.466484,0.362622,0.125042
0.145364,1.593573,0.998913,0.365103,0.850841,-0.468568,0.362778,0.124876
0.147701,1.593049,0.998550,0.364753,0.850489,-0.469956,0.362879,0.124763
0.150065,1.592522,0.998184,0.364403,0.850144,-0.471345,0.362975,0.124648
