time,j0,j1,j2,j3,j4,j5,j6
0.000000,15.117000,-2.392500,-3.587000,5.679000,-0.424000,0.560800,0.134400
0.002332,15.199500,-2.574000,-3.480000,5.593000,-0.376800,0.553600,0.135200
0.004694,15.211500,-2.575500,-3.508000,5.524000,-0.363200,0.552000,0.119200
0.007063,15.075000,-2.565000,-3.658000,5.500000,-0.418400,0.530400,0.106400
0.009716,14.974500,-2.533500,-3.766000,5.520000,-0.380800,0.560800,0.082400
0.012125,15.010500,-2.566500,-3.796000,5.587000,-0.383200,0.565600,0.075200
0.014458,15.006000,-2.688000,-3.714000,5.764000,-0.414400,0.564000,0.088800
0.016790,15.178500,-2.746500,-3.661000,5.820000,-0.337600,0.568000,0.068000
0.019136,15.144000,-2.793000,-3.626000,5.783000,-0.364000,0.574400,0.065600
0.021468,15.082500,-2.923500,-3.721000,5.692000,-0.445600,0.556000,0.030400
0.023791,15.160500,-2.956500,-3.733000,5.525000,-0.390400,0.560800,0.026400
0.026136,15.099000,-3.133500,-3.744000,5.489000,-0.392000,0.553600,0.028000
0.028442,15.111000,-3.379500,-3.728000,5.542000,-0.333600,0.552800,0.001600
0.030777,15.114000,-3.612000,-3.731000,5.560000,-0.350400,0.561600,0.009600
0.033106,15.013500,-3.840000,-3.856000,5.636000,-0.455200,0.573600,-0.023200
0.035468,15.001500,-4.128000,-3.963000,5.718000,-0.338400,0.580000,-0.035200
0.037780,14.904000,-4.395000,-4.067000,5.690000,-0.457600,0.586400,-0.034400
0.040094,14.932500,-4.590000,-4.130000,5.639000,-0.397600,0.593600,-0.079200
0.042416,14.988000,-4.911000,-4.183000,5.444000,-0.384000,0.578400,-0.056000
0.044745,14.964000,-5.127000,-4.212000,5.377000,-0.428000,0.552000,-0.087200
0.047092,14.983500,-5.287500,-4.276000,5.330000,-0.459200,0.556000,-0.120000
0.049661,14.878500,-5.629500,-4.311000,5.250000,-0.393600,0.536000,-0.110400
0.052043,14.772000,-5.676000,-4.376000,5.307000,-0.368800,0.559200,-0.141600
0.054361,14.571000,-5.685000,-4.455000,5.464000,-0.484800,0.587200,-0.176800
0.056701,14.524500,-5.664000,-4.470000,5.545000,-0.397600,0.573600,-0.161600
0.059025,14.530500,-5.577000,-4.430000,5.580000,-0.351200,0.580800,-0.167200
0.061366,14.545500,-5.310000,-4.289000,5.521000,-0.476000,0.569600,-0.224800
0.063672,14.688000,-5.044500,-4.095000,5.355000,-0.358400,0.574400,-0.199200
0.066008,14.877000,-4.882500,-3.956000,5.147000,-0.356800,0.551200,-0.224800
0.068328,14.919000,-4.482000,-3.831000,5.077000,-0.453600,0.510400,-0.228800
0.070695,14.907000,-4.248000,-3.800000,5.136000,-0.377600,0.524000,-0.236800
0.073035,14.832000,-4.140000,-3.774000,5.274000,-0.332800,0.561600,-0.215200
0.075340,14.649000,-3.741000,-3.857000,5.491000,-0.332800,0.570400,-0.251200
0.077687,14.646000,-3.721500,-3.826000,5.558000,-0.413600,0.596800,-0.273600
0.080050,14.661000,-3.591000,-3.731000,5.653000,-0.409600,0.572000,-0.260000
0.082365,14.827500,-3.423000,-3.543000,5.523000,-0.415200,0.540800,-0.264000
0.084685,14.784000,-3.244500,-3.496000,5.366000,-0.427200,0.548800,-0.292800
0.087024,14.853000,-3.117000,-3.475000,5.206000,-0.345600,0.538400,-0.276000
0.089319,14.944500,-2.838000,-3.474000,5.179000,-0.418400,0.545600,-0.298400
0.091704,14.997000,-2.677500,-3.457000,5.217000,-0.446400,0.564800,-0.320800
0.094049,15.091500,-2.572500,-3.406000,5.408000,-0.442400,0.539200,-0.317600
0.096367,15.201000,-2.433000,-3.299000,5.665000,-0.378400,0.556000,-0.311200
0.098684,15.237000,-2.365500,-3.264000,5.790000,-0.345600,0.558400,-0.316800
0.101005,15.321000,-2.290500,-3.325000,5.774000,-0.464800,0.573600,-0.327200
0.103320,15.309000,-1.995000,-3.417000,5.713000,-0.383200,0.578400,-0.330400
0.105620,15.450000,-1.932000,-3.403000,5.643000,-0.380000,0.580800,-0.379200
0.107959,15.423000,-1.891500,-3.388000,5.675000,-0.417600,0.568800,-0.364800
0.110284,15.624000,-1.914000,-3.269000,5.718000,-0.378400,0.556000,-0.356000
0.112597,15.873000,-1.920000,-3.166000,5.785000,-0.384000,0.563200,-0.352000
0.114929,15.952500,-1.789500,-3.099000,5.868000,-0.387200,0.539200,-0.357600
0.117261,15.945000,-1.608000,-3.167000,5.897000,-0.364000,0.549600,-0.340000
0.119606,15.885000,-1.444500,-3.274000,5.979000,-0.372800,0.568000,-0.333600
0.121952,15.924000,-1.318500,-3.254000,5.952000,-0.315200,0.567200,-0.352000
0.124262,16.078500,-1.381500,-3.235000,5.983000,-0.389600,0.565600,-0.364000
0.126603,16.315500,-1.597500,-3.041000,6.064000,-0.324000,0.553600,-0.316800
0.128916,16.485000,-1.743000,-3.065000,6.106000,-0.358400,0.580800,-0.336800
0.131223,16.474500,-1.851000,-3.057000,6.115000,-0.357600,0.534400,-0.300800
0.133601,16.437000,-1.960500,-3.266000,6.201000,-0.362400,0.576000,-0.301600
0.136016,16.297500,-1.984500,-3.438000,6.153000,-0.410400,0.572800,-0.325600
