time,j0,j1,j2,j3,j4,j5,j6
0.000000,-0.181860,-0.093295,-0.156204,-0.234949,-0.662817,0.125069,-0.004896
0.002332,-0.181071,-0.092198,-0.158991,-0.236464,-0.667146,0.119947,-0.007037
0.004694,-0.183476,-0.094809,-0.162861,-0.238988,-0.663384,0.117269,-0.008269
0.007063,-0.182700,-0.096677,-0.154236,-0.237997,-0.669127,0.116607,-0.009114
0.009716,-0.188038,-0.096298,-0.156538,-0.233203,-0.663705,0.112640,-0.010662
0.012125,-0.188685,-0.097624,-0.161753,-0.229231,-0.670779,0.118078,-0.012270
0.014458,-0.188299,-0.099460,-0.162198,-0.234042,-0.670476,0.116547,-0.013559
0.016790,-0.189534,-0.100866,-0.160753,-0.232358,-0.670834,0.118101,-0.014487
0.019136,-0.193532,-0.103140,-0.156262,-0.232987,-0.664605,0.111106,-0.015632
0.021468,-0.194997,-0.104485,-0.156872,-0.232022,-0.668436,0.113999,-0.017254
0.023791,-0.194642,-0.103440,-0.164670,-0.232234,-0.666706,0.111475,-0.019135
0.026136,-0.198387,-0.106277,-0.162769,-0.229403,-0.671491,0.113654,-0.020101
0.028442,-0.199886,-0.107741,-0.160891,-0.221139,-0.668237,0.112996,-0.022188
0.030777,-0.199964,-0.107848,-0.156988,-0.224549,-0.671409,0.108680,-0.023568
0.033106,-0.198985,-0.112197,-0.163459,-0.223748,-0.666081,0.108770,-0.025165
0.035468,-0.199500,-0.112460,-0.166667,-0.222897,-0.670333,0.102430,-0.024524
0.037780,-0.203033,-0.114134,-0.162569,-0.216783,-0.667368,0.106366,-0.026276
0.040094,-0.200699,-0.113630,-0.159499,-0.219953,-0.672704,0.104060,-0.026634
0.042416,-0.202324,-0.115956,-0.158167,-0.219939,-0.668829,0.102789,-0.029445
0.044745,-0.204202,-0.117200,-0.166146,-0.217545,-0.676233,0.099917,-0.030369
0.047092,-0.207268,-0.118279,-0.162155,-0.215622,-0.675785,0.099077,-0.031390
0.049661,-0.207369,-0.120139,-0.163849,-0.222196,-0.680889,0.098488,-0.030876
0.052043,-0.209832,-0.120924,-0.160489,-0.217057,-0.678546,0.096997,-0.031810
0.054361,-0.214008,-0.123916,-0.161672,-0.217805,-0.678521,0.095368,-0.032530
0.056701,-0.215049,-0.126356,-0.166863,-0.217901,-0.675268,0.095228,-0.033522
0.059025,-0.218767,-0.126250,-0.164444,-0.216712,-0.677394,0.095531,-0.035056
0.061366,-0.215219,-0.129525,-0.166582,-0.213716,-0.677795,0.092325,-0.035412
0.063672,-0.215988,-0.133029,-0.164207,-0.216760,-0.676215,0.093874,-0.035738
0.066008,-0.217103,-0.132999,-0.172887,-0.214773,-0.685423,0.087795,-0.036129
0.068328,-0.217449,-0.135405,-0.169078,-0.211658,-0.681601,0.088988,-0.036341
0.070695,-0.218013,-0.136828,-0.166704,-0.210739,-0.686275,0.086273,-0.036907
0.073035,-0.222892,-0.136472,-0.160617,-0.211806,-0.683177,0.084223,-0.038383
0.075340,-0.227117,-0.140371,-0.164195,-0.208113,-0.684937,0.084963,-0.038688
0.077687,-0.224873,-0.140528,-0.169821,-0.208755,-0.683243,0.080108,-0.038858
0.080050,-0.224185,-0.143424,-0.171758,-0.205254,-0.678171,0.083052,-0.038417
0.082365,-0.230898,-0.144077,-0.169326,-0.207058,-0.685301,0.080310,-0.039275
0.084685,-0.231571,-0.145409,-0.163495,-0.206474,-0.684613,0.080069,-0.040856
0.087024,-0.229925,-0.147694,-0.168604,-0.202385,-0.683056,0.081631,-0.040183
0.089319,-0.230823,-0.149952,-0.168406,-0.201902,-0.676818,0.076811,-0.040592
0.091704,-0.236160,-0.150161,-0.171899,-0.198013,-0.685708,0.079875,-0.041014
0.094049,-0.234370,-0.152425,-0.166938,-0.193837,-0.696189,0.077971,-0.041173
0.096367,-0.235416,-0.154256,-0.166144,-0.197222,-0.688810,0.075428,-0.044261
0.098684,-0.238564,-0.154249,-0.166560,-0.192687,-0.690430,0.077086,-0.044456
0.101005,-0.238666,-0.156216,-0.173955,-0.193153,-0.690850,0.074660,-0.043831
0.103320,-0.243431,-0.157997,-0.171580,-0.191563,-0.690042,0.072121,-0.044828
0.105620,-0.242244,-0.158677,-0.169602,-0.190796,-0.695214,0.073754,-0.045036
0.107959,-0.241506,-0.159534,-0.164704,-0.194423,-0.687673,0.071751,-0.046509
0.110284,-0.244453,-0.160264,-0.171137,-0.193643,-0.683774,0.069298,-0.046731
0.112597,-0.243805,-0.160683,-0.172350,-0.191357,-0.689393,0.069652,-0.048164
0.114929,-0.246891,-0.162741,-0.174624,-0.191659,-0.685410,0.067611,-0.046405
0.117261,-0.246394,-0.163399,-0.167234,-0.184760,-0.688071,0.064247,-0.048125
0.119606,-0.250184,-0.164737,-0.167616,-0.187236,-0.687580,0.066877,-0.050421
0.121952,-0.248958,-0.168724,-0.168220,-0.182858,-0.683845,0.064367,-0.049102
0.124262,-0.253701,-0.170454,-0.175642,-0.186578,-0.689368,0.062310,-0.050530
0.126603,-0.253614,-0.169015,-0.172412,-0.180813,-0.684704,0.062150,-0.050885
0.128916,-0.252769,-0.171592,-0.171303,-0.185628,-0.690074,0.061664,-0.052176
0.131223,-0.254321,-0.170093,-0.167449,-0.184689,-0.696335,0.059355,-0.052945
0.133601,-0.254806,-0.175296,-0.168637,-0.182420,-0.689071,0.057102,-0.052450
0.136016,-0.255714,-0.175145,-0.174306,-0.181780,-0.691689,0.058043,-0.052875
0.138324,-0.258972,-0.176911,-0.170412,-0.178665,-0.690791,0.054918,-0.056055
0.140635,-0.259885,-0.177598,-0.173982,-0.174785,-0.697828,0.052739,-0.053952
0.142982,-0.262009,-0.179654,-0.169420,-0.176694,-0.697570,0.052312,-0.053886
0.145364,-0.261357,-0.180812,-0.172299,-0.176813,-0.695310,0.051637,-0.055732
0.147701,-0.264568,-0.181833,-0.171063,-0.176258,-0.697728,0.050097,-0.057406
0.150065,-0.265779,-0.182693,-0.174386,-0.173803,-0.695726,0.046772,-0.057408
0.152440,-0.267964,-0.185264,-0.176632,-0.173386,-0.697744,0.047985,-0.054374
0.154786,-0.267182,-0.186669,-0.176371,-0.169249,-0.699089,0.047127,-0.057714
0.157151,-0.269930,-0.187767,-0.170230,-0.172049,-0.694266,0.047211,-0.058944
0.159482,-0.270306,-0.191184,-0.170721,-0.167765,-0.697775,0.044150,-0.056199
0.161817,-0.270543,-0.190059,-0.172253,-0.169518,-0.699320,0.043445,-0.056530
0.164210,-0.268536,-0.191705,-0.178217,-0.164437,-0.696953,0.042983,-0.059496
0.166527,-0.274883,-0.195818,-0.173267,-0.164170,-0.700419,0.042486,-0.059644
0.168853,-0.278755,-0.196667,-0.174473,-0.162303,-0.696891,0.041389,-0.058629
0.171191,-0.276796,-0.197426,-0.168687,-0.166521,-0.694910,0.039108,-0.060163
0.173474,-0.276062,-0.201213,-0.171969,-0.165314,-0.704804,0.037300,-0.063245
0.175779,-0.275348,-0.200343,-0.174041,-0.160204,-0.700385,0.038108,-0.062264
0.178191,-0.282967,-0.201034,-0.178253,-0.160100,-0.695385,0.037293,-0.062606
0.180506,-0.283504,-0.206596,-0.176959,-0.158357,-0.695983,0.034922,-0.065444
0.182819,-0.284219,-0.207746,-0.174615,-0.161216,-0.697989,0.033095,-0.064891
0.185204,-0.285080,-0.207904,-0.169597,-0.155072,-0.697055,0.031227,-0.063141
0.187503,-0.288587,-0.207412,-0.168523,-0.152488,-0.702903,0.031377,-0.067152
0.189839,-0.284960,-0.211827,-0.175196,-0.157259,-0.699193,0.030299,-0.067544
0.192218,-0.287406,-0.210503,-0.180562,-0.155285,-0.699426,0.029801,-0.067604
0.194514,-0.291610,-0.212615,-0.179597,-0.151592,-0.700388,0.027767,-0.070379
0.196840,-0.291045,-0.217588,-0.176414,-0.150964,-0.701190,0.026499,-0.070537
0.199156,-0.288991,-0.215215,-0.171709,-0.151659,-0.699291,0.026609,-0.069122
0.201534,-0.293260,-0.217850,-0.173440,-0.153640,-0.703818,0.024559,-0.072022
0.203857,-0.295323,-0.220129,-0.174874,-0.147210,-0.697136,0.022828,-0.072773
0.206239,-0.294230,-0.221231,-0.180206,-0.150615,-0.696511,0.022099,-0.070150
0.208532,-0.300792,-0.224117,-0.180993,-0.150321,-0.702950,0.021494,-0.072796
0.210882,-0.300170,-0.222997,-0.178389,-0.143305,-0.697190,0.021432,-0.074295
0.213216,-0.301936,-0.224876,-0.173830,-0.145283,-0.696108,0.019470,-0.072008
0.215560,-0.300993,-0.227839,-0.174791,-0.146928,-0.700466,0.018343,-0.076215
0.217954,-0.300063,-0.227224,-0.177172,-0.141663,-0.695480,0.016661,-0.074824
0.220265,-0.303419,-0.229159,-0.182261,-0.141964,-0.695088,0.016608,-0.074689
0.222591,-0.305837,-0.231943,-0.179485,-0.144182,-0.698641,0.014624,-0.077147
0.224923,-0.308186,-0.232786,-0.179764,-0.138812,-0.695746,0.013678,-0.077312
0.227269,-0.304856,-0.235814,-0.174736,-0.138501,-0.694554,0.011809,-0.076155
0.229582,-0.306849,-0.238515,-0.176059,-0.142164,-0.705533,0.011208,-0.078921
0.231973,-0.311102,-0.240278,-0.173238,-0.137397,-0.702648,0.010672,-0.077135
0.234276,-0.312192,-0.241445,-0.179192,-0.136687,-0.700551,0.009465,-0.077764
0.236587,-0.315973,-0.242482,-0.180074,-0.138524,-0.700780,0.007965,-0.080229
0.238904,-0.312203,-0.240934,-0.182479,-0.131089,-0.697139,0.006232,-0.077257
0.241251,-0.318685,-0.244841,-0.178129,-0.133204,-0.695726,0.005579,-0.081484
0.243561,-0.316844,-0.246639,-0.181755,-0.134175,-0.702786,0.004527,-0.080157
0.245936,-0.317866,-0.246738,-0.178131,-0.127911,-0.699818,0.003518,-0.081144
0.248277,-0.317090,-0.248184,-0.179969,-0.132002,-0.695880,0.003168,-0.083943
0.250611,-0.317490,-0.249756,-0.177779,-0.133576,-0.700143,0.001594,-0.080559
0.252982,-0.322713,-0.251883,-0.183140,-0.125487,-0.700773,0.001526,-0.082831
0.255323,-0.320909,-0.251571,-0.180377,-0.126049,-0.705724,-0.000400,-0.081669
0.257642,-0.325813,-0.254927,-0.183066,-0.122295,-0.703087,0.000789,-0.081431
0.259981,-0.322572,-0.256687,-0.178732,-0.125812,-0.700832,0.000178,-0.084966
0.262296,-0.324343,-0.256952,-0.179812,-0.120309,-0.698909,0.000164,-0.084795
0.264593,-0.328314,-0.258680,-0.175168,-0.116435,-0.705918,-0.000244,-0.086182
0.266953,-0.330907,-0.259878,-0.181672,-0.123228,-0.701163,-0.000596,-0.085417
0.269229,-0.333488,-0.261167,-0.183478,-0.114933,-0.698368,-0.001286,-0.084412
0.271612,-0.329603,-0.264660,-0.184589,-0.118402,-0.701275,-0.001677,-0.088458
0.273965,-0.332762,-0.264109,-0.181613,-0.111172,-0.703654,-0.002872,-0.086588
0.276284,-0.330147,-0.264846,-0.175099,-0.117645,-0.701507,-0.003877,-0.087136
0.278584,-0.337204,-0.269531,-0.180894,-0.110983,-0.706725,-0.005527,-0.088041
0.280919,-0.336609,-0.269648,-0.177095,-0.113904,-0.703063,-0.007525,-0.089535
0.283239,-0.341589,-0.270568,-0.184034,-0.107101,-0.698936,-0.008823,-0.092680
0.285534,-0.342294,-0.273301,-0.181570,-0.108514,-0.710331,-0.010952,-0.090542
0.287875,-0.343692,-0.274843,-0.184746,-0.107897,-0.701996,-0.012570,-0.093105
0.290221,-0.337766,-0.274240,-0.179999,-0.109149,-0.701492,-0.013848,-0.091785
0.292531,-0.344019,-0.274619,-0.184226,-0.109758,-0.705356,-0.016569,-0.093769
0.294829,-0.345093,-0.277006,-0.178547,-0.104289,-0.698483,-0.017119,-0.092731
0.297193,-0.345023,-0.277697,-0.179087,-0.102524,-0.700361,-0.019073,-0.092988
0.299493,-0.343640,-0.280221,-0.178807,-0.100188,-0.704231,-0.021606,-0.092726
0.301810,-0.347851,-0.282424,-0.184497,-0.101753,-0.696687,-0.022970,-0.093944
0.304114,-0.347904,-0.280269,-0.186542,-0.100998,-0.693024,-0.024115,-0.098661
0.306419,-0.349853,-0.282117,-0.185464,-0.099589,-0.697944,-0.025145,-0.098276
0.308728,-0.353400,-0.285337,-0.182329,-0.099172,-0.696553,-0.027393,-0.098987
0.311078,-0.355111,-0.285048,-0.178166,-0.094075,-0.694436,-0.028373,-0.097540
0.313381,-0.352705,-0.288071,-0.179679,-0.098526,-0.699893,-0.031649,-0.100985
0.315694,-0.352590,-0.291285,-0.181873,-0.094291,-0.696365,-0.031530,-0.097978
0.318018,-0.354460,-0.290471,-0.187495,-0.098708,-0.696000,-0.033366,-0.102511
0.320312,-0.362501,-0.292918,-0.186212,-0.090946,-0.704792,-0.033465,-0.098203
0.322630,-0.360736,-0.295488,-0.187334,-0.096770,-0.701956,-0.035301,-0.100028
0.324956,-0.360162,-0.297990,-0.184509,-0.091413,-0.695166,-0.036371,-0.100068
0.327297,-0.362079,-0.297593,-0.185099,-0.092390,-0.698897,-0.038561,-0.101520
0.329626,-0.360889,-0.301532,-0.179744,-0.089235,-0.697161,-0.040871,-0.098027
0.332007,-0.366654,-0.302566,-0.183632,-0.086075,-0.693924,-0.041090,-0.099230
0.334317,-0.365404,-0.304259,-0.179552,-0.088471,-0.700166,-0.041128,-0.100650
0.336628,-0.369351,-0.305919,-0.186252,-0.082823,-0.697797,-0.043441,-0.101387
0.338943,-0.367364,-0.308226,-0.185840,-0.085419,-0.694089,-0.044412,-0.102428
0.341313,-0.369583,-0.308189,-0.183828,-0.083685,-0.695909,-0.045672,-0.100558
0.343605,-0.369765,-0.312414,-0.183968,-0.080780,-0.697971,-0.045811,-0.104779
0.346004,-0.370244,-0.309041,-0.179713,-0.084656,-0.693378,-0.046873,-0.103346
0.348326,-0.375625,-0.314875,-0.182535,-0.076752,-0.695834,-0.050511,-0.104811
0.350662,-0.373772,-0.313563,-0.179188,-0.079284,-0.694551,-0.052099,-0.104099
0.353013,-0.377029,-0.317306,-0.185999,-0.077254,-0.695951,-0.052472,-0.107562
0.355323,-0.374693,-0.315241,-0.181405,-0.072658,-0.699787,-0.051847,-0.109192
0.357670,-0.377303,-0.319325,-0.186737,-0.077803,-0.692331,-0.053335,-0.110412
0.359997,-0.381441,-0.319770,-0.184620,-0.073646,-0.690773,-0.056411,-0.108179
0.362329,-0.379098,-0.324266,-0.187415,-0.072692,-0.692227,-0.055923,-0.110499
0.364631,-0.382753,-0.324425,-0.183814,-0.074061,-0.696151,-0.056710,-0.114134
0.366987,-0.384107,-0.325295,-0.179505,-0.070614,-0.699339,-0.057839,-0.111437
0.369308,-0.384803,-0.323902,-0.184427,-0.070401,-0.694560,-0.060366,-0.116266
0.371674,-0.383388,-0.330160,-0.182337,-0.072162,-0.691064,-0.060563,-0.113176
0.374049,-0.386421,-0.331342,-0.188416,-0.067023,-0.693617,-0.059121,-0.118274
0.376382,-0.387557,-0.330217,-0.185240,-0.066754,-0.694569,-0.064565,-0.114279
0.378696,-0.395915,-0.333344,-0.190381,-0.067067,-0.694742,-0.062980,-0.119258
0.381039,-0.389896,-0.332956,-0.183211,-0.064142,-0.697091,-0.063715,-0.114534
0.383611,-0.392901,-0.337006,-0.188769,-0.061570,-0.691035,-0.067558,-0.116767
0.386034,-0.389151,-0.336838,-0.182675,-0.064647,-0.691047,-0.068524,-0.117485
0.388328,-0.396332,-0.337836,-0.186490,-0.059480,-0.688433,-0.067767,-0.115945
0.390652,-0.394837,-0.339680,-0.181843,-0.058143,-0.687397,-0.072102,-0.117787
0.392985,-0.397228,-0.342894,-0.185084,-0.058600,-0.691912,-0.072443,-0.114911
0.395329,-0.398760,-0.343226,-0.184646,-0.056704,-0.690251,-0.072172,-0.117628
0.397672,-0.396620,-0.343074,-0.188475,-0.054671,-0.690932,-0.075656,-0.112659
0.400003,-0.398998,-0.344704,-0.189898,-0.052791,-0.693088,-0.076782,-0.116276
0.402335,-0.396577,-0.345256,-0.189849,-0.053725,-0.689538,-0.076177,-0.115065
0.404638,-0.401353,-0.347790,-0.188567,-0.051437,-0.694246,-0.081604,-0.117480
0.406978,-0.405507,-0.347213,-0.184221,-0.048099,-0.688857,-0.080573,-0.117474
0.409263,-0.410399,-0.348226,-0.182993,-0.048527,-0.689689,-0.079729,-0.118823
0.411629,-0.405831,-0.348755,-0.184429,-0.046827,-0.692657,-0.084364,-0.120139
0.413959,-0.405870,-0.352817,-0.187925,-0.046177,-0.687440,-0.082094,-0.119012
0.416306,-0.407925,-0.352822,-0.183552,-0.044311,-0.692450,-0.087720,-0.122072
0.418611,-0.412285,-0.354169,-0.190413,-0.041922,-0.685972,-0.085070,-0.120702
0.420955,-0.412225,-0.355424,-0.189251,-0.040845,-0.684762,-0.085748,-0.123064
0.423270,-0.415061,-0.356385,-0.183939,-0.040819,-0.690667,-0.090388,-0.121995
0.425635,-0.417415,-0.356942,-0.185592,-0.041059,-0.684381,-0.086255,-0.122013
0.427974,-0.417306,-0.359312,-0.182204,-0.038946,-0.686376,-0.093315,-0.124752
0.430302,-0.417079,-0.361016,-0.183597,-0.038522,-0.683976,-0.090695,-0.123626
0.432629,-0.417184,-0.361666,-0.182626,-0.037065,-0.689097,-0.093315,-0.127313
0.434990,-0.418026,-0.362827,-0.188024,-0.036601,-0.694091,-0.093705,-0.124754
0.437299,-0.421500,-0.368019,-0.185317,-0.036038,-0.685938,-0.094368,-0.123873
0.439632,-0.423072,-0.371931,-0.191574,-0.034181,-0.690105,-0.095480,-0.130323
0.441962,-0.427308,-0.371438,-0.187746,-0.033675,-0.688123,-0.093950,-0.125414
0.444267,-0.424887,-0.373521,-0.184124,-0.033984,-0.682564,-0.098107,-0.130252
0.446574,-0.427994,-0.378052,-0.185061,-0.032477,-0.690346,-0.096179,-0.131514
0.448893,-0.427038,-0.379484,-0.182525,-0.031497,-0.684468,-0.102455,-0.129521
0.451279,-0.430695,-0.383821,-0.186872,-0.032093,-0.677523,-0.099070,-0.130054
0.453559,-0.433575,-0.378502,-0.184246,-0.029488,-0.681687,-0.103661,-0.129081
0.455898,-0.435189,-0.382985,-0.189949,-0.028064,-0.682829,-0.101163,-0.131666
0.458214,-0.435220,-0.384582,-0.190028,-0.026018,-0.688141,-0.105808,-0.130503
0.460520,-0.438236,-0.387333,-0.191463,-0.024822,-0.681166,-0.103986,-0.128791
0.462854,-0.438413,-0.386126,-0.188627,-0.022948,-0.681719,-0.108767,-0.134108
0.465157,-0.434961,-0.385512,-0.183898,-0.021703,-0.685134,-0.106525,-0.130523
0.467523,-0.434693,-0.390388,-0.186472,-0.019705,-0.687690,-0.112577,-0.131540
0.469846,-0.438765,-0.389958,-0.183434,-0.018131,-0.687019,-0.109230,-0.136638
0.472157,-0.437061,-0.389764,-0.189745,-0.017198,-0.677017,-0.111931,-0.133557
0.474463,-0.437357,-0.391839,-0.184134,-0.014378,-0.673628,-0.109445,-0.132694
0.476783,-0.437577,-0.392337,-0.192320,-0.013431,-0.674872,-0.117361,-0.136630
0.479100,-0.438033,-0.395685,-0.190872,-0.010409,-0.674812,-0.114877,-0.133041
0.481450,-0.441024,-0.395082,-0.192982,-0.009997,-0.671858,-0.120627,-0.134923
0.483766,-0.443028,-0.396561,-0.191072,-0.008285,-0.671877,-0.120043,-0.136683
0.486088,-0.439875,-0.397371,-0.185293,-0.007537,-0.676945,-0.122113,-0.135346
0.488372,-0.442398,-0.398106,-0.189361,-0.004881,-0.673974,-0.124579,-0.138122
0.490712,-0.444564,-0.403500,-0.184532,-0.004284,-0.671247,-0.122442,-0.135456
0.493021,-0.445924,-0.401813,-0.187350,-0.003564,-0.670436,-0.129170,-0.136529
0.495344,-0.444894,-0.401870,-0.184795,-0.002200,-0.667471,-0.128112,-0.140754
0.497657,-0.442824,-0.405722,-0.191682,-0.001414,-0.668979,-0.128491,-0.140137
0.499984,-0.451314,-0.405813,-0.191587,-0.001353,-0.678200,-0.132325,-0.142587
0.502305,-0.452704,-0.408401,-0.191154,-0.001451,-0.676364,-0.129016,-0.142372
0.504594,-0.455961,-0.409761,-0.190068,-0.000472,-0.676735,-0.132799,-0.141160
0.506943,-0.454677,-0.413604,-0.183727,-0.000056,-0.670334,-0.133923,-0.141742
0.509237,-0.458217,-0.412012,-0.181246,0.000380,-0.663941,-0.133297,-0.145051
0.511595,-0.455506,-0.415243,-0.184073,0.000228,-0.663107,-0.136671,-0.144270
0.513914,-0.466732,-0.415229,-0.187502,0.000682,-0.672448,-0.133961,-0.143547
0.516230,-0.460758,-0.414858,-0.190220,0.000699,-0.679818,-0.137848,-0.146303
0.518537,-0.461050,-0.416367,-0.188101,0.001397,-0.670947,-0.140446,-0.146316
0.520852,-0.469404,-0.418201,-0.188607,0.001653,-0.668114,-0.136905,-0.143674
0.523189,-0.468520,-0.419297,-0.182455,0.001520,-0.665257,-0.142657,-0.147537
0.525509,-0.460593,-0.418984,-0.187820,0.003175,-0.667566,-0.145355,-0.146687
0.527816,-0.470277,-0.423375,-0.182429,0.004596,-0.664949,-0.141876,-0.142377
0.530144,-0.468906,-0.424143,-0.183766,0.006233,-0.667091,-0.145237,-0.147364
0.532462,-0.465686,-0.423586,-0.181692,0.008317,-0.664495,-0.147719,-0.147895
0.534784,-0.475559,-0.427307,-0.187105,0.010180,-0.665714,-0.146379,-0.145575
0.537130,-0.470427,-0.428247,-0.189077,0.014098,-0.659405,-0.150369,-0.147942
0.539492,-0.463884,-0.428470,-0.190280,0.016968,-0.660347,-0.153196,-0.149714
0.541819,-0.473028,-0.431178,-0.190773,0.019376,-0.663318,-0.156887,-0.146746
0.544142,-0.469274,-0.430524,-0.184902,0.021195,-0.665467,-0.154242,-0.148765
0.546449,-0.473320,-0.431280,-0.189393,0.023742,-0.665526,-0.155465,-0.151797
0.548782,-0.471806,-0.432036,-0.182808,0.025464,-0.662175,-0.162612,-0.150522
0.551188,-0.470361,-0.432712,-0.183606,0.026875,-0.658832,-0.162102,-0.147807
0.553483,-0.471710,-0.438015,-0.183559,0.029234,-0.656720,-0.163368,-0.150768
0.555800,-0.472865,-0.437366,-0.189618,0.030035,-0.662532,-0.162642,-0.153574
0.558114,-0.477056,-0.438406,-0.191670,0.031194,-0.657973,-0.168609,-0.149346
0.560423,-0.480371,-0.443241,-0.191407,0.030312,-0.662558,-0.167916,-0.151296
0.562755,-0.478350,-0.444296,-0.190237,0.031464,-0.655715,-0.165367,-0.155275
0.565072,-0.475953,-0.444010,-0.183557,0.032392,-0.659491,-0.162555,-0.151532
0.567626,-0.478490,-0.447856,-0.190343,0.033425,-0.655753,-0.166347,-0.152436
0.569965,-0.484194,-0.449906,-0.183909,0.033258,-0.654789,-0.171863,-0.150972
0.572289,-0.490857,-0.450368,-0.186677,0.034138,-0.650418,-0.173937,-0.155024
0.574581,-0.487886,-0.453239,-0.185161,0.032990,-0.650626,-0.174010,-0.151994
0.576936,-0.495759,-0.455138,-0.189194,0.034987,-0.652943,-0.169969,-0.147513
0.579226,-0.492114,-0.454001,-0.191264,0.035702,-0.652665,-0.173523,-0.154313
0.581594,-0.497235,-0.454252,-0.191698,0.037804,-0.648601,-0.172872,-0.156577
0.583892,-0.498848,-0.457071,-0.190271,0.039203,-0.645001,-0.179063,-0.151772
0.586215,-0.499237,-0.459924,-0.184044,0.041091,-0.653761,-0.181565,-0.155592
0.588523,-0.498418,-0.457077,-0.187868,0.042948,-0.654048,-0.183677,-0.156383
0.590868,-0.503306,-0.460813,-0.184366,0.045174,-0.646195,-0.181745,-0.159936
0.593207,-0.496498,-0.459334,-0.184579,0.046706,-0.643933,-0.180512,-0.155691
0.595550,-0.499728,-0.459027,-0.184444,0.049851,-0.647488,-0.184727,-0.156162
0.597855,-0.500874,-0.464176,-0.189290,0.050186,-0.651794,-0.186430,-0.162620
0.600198,-0.500444,-0.462751,-0.189535,0.053315,-0.644345,-0.190189,-0.160698
0.602516,-0.496106,-0.467001,-0.190536,0.055434,-0.637203,-0.191365,-0.163703
0.604811,-0.502707,-0.467327,-0.189899,0.058026,-0.645604,-0.192342,-0.162067
0.607117,-0.494238,-0.465062,-0.184301,0.059111,-0.643528,-0.193450,-0.167158
0.609490,-0.497383,-0.467227,-0.186752,0.061334,-0.643445,-0.193895,-0.166995
0.611808,-0.497863,-0.465853,-0.184444,0.063820,-0.645475,-0.194839,-0.165089
0.614105,-0.503482,-0.467462,-0.185576,0.062522,-0.641999,-0.191975,-0.160056
0.616437,-0.499145,-0.471461,-0.183796,0.062876,-0.639757,-0.199285,-0.160712
0.618757,-0.501059,-0.470987,-0.187549,0.064743,-0.634532,-0.194216,-0.162984
0.621125,-0.503537,-0.468830,-0.188891,0.064394,-0.644605,-0.196470,-0.160418
0.623439,-0.503088,-0.473449,-0.188480,0.062326,-0.643656,-0.198073,-0.158968
0.625760,-0.507719,-0.473492,-0.186712,0.066613,-0.632445,-0.198832,-0.157337
0.628091,-0.510153,-0.477015,-0.183630,0.067451,-0.639067,-0.205000,-0.162354
